==============================================================================
==============================================================================
Thu. Mar. 8 2018                  LANDSAT 3                       Time: 23:18
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101803081133_00026                          Path / Row - 36 / 32
Reference Image: L31XXX1178183000101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 75.0%
Rank   2 -- 25.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0360321885   40.44806   -106.01062     0.27     -0.29     0.40     1 
0360321886   40.44840   -105.97100    -0.06     -0.42     0.42     1 
0360321887   40.44873   -105.93138    -0.37     -0.22     0.43     1 
0360321888   40.44904   -105.89176     0.69      0.08     0.70     2 
0360321889   40.44934   -105.85214    -0.04      0.06     0.07     1 
0360321890   40.44962   -105.81252    -0.17      0.17     0.24     1 
0360321897   40.45124   -105.53517    -0.20     -0.02     0.20     1 
0360321898   40.45142   -105.49555     0.18     -0.02     0.18     1 
0360321899   40.45158   -105.45592     0.69     -0.14     0.70     2 
0360321900   40.45173   -105.41630     0.52     -0.07     0.52     2 
0360321901   40.45187   -105.37668     0.57      0.17     0.59     2 
0360321902   40.45199   -105.33705     0.20      0.13     0.24     1 
0360321903   40.45210   -105.29743     0.32      0.01     0.32     1 
0360321904   40.45219   -105.25780     0.62      0.08     0.62     2 
0360321909   40.45246   -105.05967    -0.23     -0.35     0.42     1 
0360321937   40.44771   -103.95024     0.57      0.12     0.58     2 
0360321960   40.42158   -106.01022     0.17     -0.07     0.19     1 
0360321962   40.42224   -105.93101    -0.33      0.11     0.34     1 
0360321964   40.42285   -105.85181    -0.24      0.42     0.48     1 
0360321966   40.42341   -105.77260    -0.26      0.12     0.29     1 
0360321970   40.42436   -105.61418     0.64     -0.06     0.65     2 
0360321972   40.42475   -105.53496     0.01      0.03     0.03     1 
0360321973   40.42493   -105.49535     0.28     -0.21     0.34     1 
0360321974   40.42509   -105.45574     0.66     -0.23     0.70     2 
0360321975   40.42524   -105.41614     0.66     -0.04     0.66     2 
0360321976   40.42538   -105.37653     0.70      0.07     0.71     2 
0360321977   40.42550   -105.33692     0.36     -0.01     0.36     1 
0360321978   40.42561   -105.29731     0.29     -0.08     0.30     1 
0360321979   40.42571   -105.25770     0.46      0.03     0.46     1 
0360321980   40.42579   -105.21809     0.65      0.29     0.71     2 
0360321983   40.42595   -105.09926     0.13     -0.07     0.15     1 
0360321985   40.42599   -105.02004     0.24     -0.70     0.74     2 
0360322012   40.42123   -103.95065     0.73      0.28     0.78     2 
0360322035   40.39510   -106.00982     0.08     -0.20     0.21     1 
0360322037   40.39576   -105.93065    -0.09     -0.08     0.13     1 
0360322039   40.39637   -105.85147     0.40      0.05     0.40     1 
0360322040   40.39666   -105.81189    -0.43      0.11     0.44     1 
0360322046   40.39808   -105.57434     0.18     -0.24     0.30     1 
0360322047   40.39827   -105.53475    -0.04     -0.15     0.16     1 
